enrollment_id,participant_id,cohort_id,program_id,program_name,program_category,program_goal,delivery_language,delivery_mode,trainer_id,cohort_state,start_date,end_date,cohort_month,state,city,age_band,gender,employment_status,primary_device,digital_confidence,acquisition_channel,motivation,attendance_rate,risk_band,completion_status,completed_flag,pre_score,post_score,score_improvement,satisfaction_score,recommendation_score,employment_outcome,ticket_count,avg_resolution_hours,support_sla_rate
EN00027,PT0667,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Sarawak,Kuching,25-34,Female,Job seeker,Laptop/Desktop,High,Community partner,Digital confidence,1.0,On track,Completed,1,43.9,82.1,38.2,5.0,10.0,No change reported,1,41.5,1.0
EN00028,PT0448,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Sabah,Kota Kinabalu,18-24,Male,Employed,Mobile,High,Organic,Job search,0.75,On track,Completed,1,69.2,95.5,26.3,3.0,5.0,No change reported,0,,
EN00029,PT0640,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Sarawak,Kuching,18-24,Non-binary / Prefer not to say,Job seeker,Laptop/Desktop,Medium,Employer,Career growth,0.5,Watch,Completed,1,39.0,62.8,23.8,2.0,2.0,Interview secured,0,,
EN00030,PT0513,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Sabah,Sandakan,25-34,Male,Job seeker,Mobile,Medium,Organic,Digital confidence,0.75,On track,Completed,1,47.6,70.3,22.7,4.0,5.0,No change reported,1,22.1,1.0
EN00031,PT0120,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Selangor,Petaling,45+,Non-binary / Prefer not to say,Employed,Laptop/Desktop,Medium,Community partner,Digital confidence,0.875,On track,Completed,1,75.7,100.0,24.3,,,No change reported,0,,
EN00032,PT0460,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Kuala Lumpur,North,18-24,Male,Job seeker,Mobile,Low,Community partner,Job search,0.875,On track,Completed,1,24.0,50.2,26.2,4.0,7.0,Interview secured,1,9.6,1.0
EN00033,PT0445,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Kuala Lumpur,North,35-44,Female,Job seeker,Mobile,Medium,Referral,Employer requirement,0.5,Watch,Dropped,0,44.9,61.1,16.2,,,Not measured,1,22.2,1.0
EN00034,PT0632,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Johor,Muar,18-24,Female,Self-employed,Laptop/Desktop,High,Organic,Job search,1.0,On track,Completed,1,46.1,76.7,30.6,4.0,8.0,No change reported,0,,
EN00035,PT0319,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Penang,Seberang Perai,35-44,Female,Student,Mobile,Low,Referral,Digital confidence,0.75,On track,Completed,1,64.7,83.7,19.0,4.0,8.0,No change reported,0,,
EN00036,PT0231,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Kuala Lumpur,Central,18-24,Female,Self-employed,Laptop/Desktop,Low,Organic,Job search,0.5,Watch,Completed,1,60.0,82.2,22.2,,,No change reported,0,,
EN00037,PT0516,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Selangor,Shah Alam,18-24,Male,Student,Mobile,Low,Organic,Career growth,0.75,On track,Completed,1,66.9,93.0,26.1,4.0,7.0,Interview secured,0,,
EN00038,PT0461,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Kuala Lumpur,Central,45+,Male,Employed,Mobile,Medium,Organic,Job search,0.75,On track,Completed,1,73.5,97.8,24.3,,,New role,0,,
EN00039,PT0509,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Selangor,Shah Alam,25-34,Male,Job seeker,Mobile,Medium,Organic,Career growth,0.875,On track,Completed,1,49.6,74.0,24.4,4.0,9.0,No change reported,0,,
EN00040,PT0707,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Sabah,Sandakan,35-44,Female,Student,Mobile,Medium,Referral,Digital confidence,0.875,On track,Completed,1,33.7,56.6,22.9,,,No change reported,1,22.6,1.0
EN00041,PT0553,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Sarawak,Miri,25-34,Male,Employed,Laptop/Desktop,Low,Community partner,Digital confidence,0.875,On track,Completed,1,41.6,66.7,25.1,4.0,8.0,New role,0,,
EN00042,PT0092,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Selangor,Petaling,45+,Female,Employed,Laptop/Desktop,Medium,Employer,Job search,0.875,On track,Completed,1,44.0,80.8,36.8,,,Interview secured,1,18.4,1.0
EN00043,PT0065,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Penang,Seberang Perai,18-24,Female,Student,Laptop/Desktop,High,Community partner,Job search,0.875,On track,Completed,1,49.4,66.3,16.9,4.0,8.0,No change reported,1,8.7,1.0
EN00044,PT0490,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Selangor,Shah Alam,25-34,Female,Employed,Laptop/Desktop,High,Community partner,Career growth,1.0,On track,Completed,1,80.3,100.0,19.7,,,No change reported,1,38.0,1.0
EN00045,PT0257,CH001,PRG01,Data Foundations,Data & Digital,Career Transition,English,Hybrid,TR06,Johor,2025-01-13,2025-03-10,2025-01-01,Kuala Lumpur,South,35-44,Female,Student,Mobile,Medium,Community partner,Career growth,1.0,On track,Completed,1,36.0,62.4,26.4,4.0,4.0,Interview secured,0,,
EN00046,PT0553,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Sarawak,Miri,25-34,Male,Employed,Laptop/Desktop,Low,Organic,Employer requirement,0.8,On track,Completed,1,50.0,64.3,14.3,,,No change reported,0,,
EN00047,PT0061,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Penang,George Town,35-44,Female,Employed,Mobile,High,Referral,Employer requirement,1.0,On track,Completed,1,82.1,100.0,17.9,4.0,9.0,No change reported,1,21.5,1.0
EN00048,PT0091,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Sabah,Sandakan,18-24,Female,Job seeker,Mobile,High,Organic,Job search,1.0,On track,Completed,1,67.6,82.6,15.0,4.0,7.0,New role,0,,
EN00049,PT0265,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Johor,Johor Bahru,45+,Female,Job seeker,Mobile,Low,Organic,Job search,0.9,On track,Completed,1,50.9,65.4,14.5,,,Interview secured,1,45.7,0.0
EN00050,PT0126,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Penang,George Town,18-24,Male,Job seeker,Mobile,Medium,Organic,Career growth,0.8,On track,Completed,1,49.8,79.2,29.4,4.0,7.0,New role,0,,
EN00051,PT0551,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Sarawak,Kuching,18-24,Female,Student,Mobile,Medium,Organic,Career growth,0.7,Watch,Completed,1,63.6,88.2,24.6,3.0,4.0,New role,0,,
EN00052,PT0312,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Johor,Muar,35-44,Female,Job seeker,Laptop/Desktop,Medium,Referral,Job search,1.0,On track,Completed,1,64.3,96.4,32.1,,,No change reported,2,63.0,0.5
EN00053,PT0190,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Kuala Lumpur,Central,25-34,Female,Employed,Laptop/Desktop,Low,Employer,Career growth,0.6,Watch,Completed,1,42.3,54.9,12.6,4.0,7.0,New role,1,13.4,1.0
EN00054,PT0308,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Sarawak,Kuching,25-34,Male,Job seeker,Laptop/Desktop,Low,Referral,Career growth,0.9,On track,Completed,1,61.2,92.0,30.8,4.0,8.0,No change reported,0,,
EN00055,PT0326,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Sabah,Sandakan,25-34,Male,Student,Shared device,High,Referral,Job search,0.7,Watch,Completed,1,58.3,86.6,28.3,5.0,10.0,No change reported,0,,
EN00056,PT0574,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Sarawak,Miri,18-24,Female,Self-employed,Laptop/Desktop,Medium,Employer,Career growth,0.8,On track,Completed,1,52.0,80.1,28.1,3.0,5.0,Interview secured,0,,
EN00057,PT0555,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Selangor,Petaling,25-34,Female,Student,Laptop/Desktop,Medium,Referral,Career growth,0.7,Watch,Dropped,0,69.7,91.7,22.0,3.0,5.0,Not measured,0,,
EN00058,PT0360,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Kuala Lumpur,South,35-44,Male,Job seeker,Mobile,Low,Community partner,Employer requirement,0.7,Watch,Completed,1,59.6,81.3,21.7,,,No change reported,0,,
EN00059,PT0624,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Sarawak,Kuching,25-34,Female,Self-employed,Laptop/Desktop,Medium,Referral,Career growth,0.8,On track,Completed,1,43.3,70.3,27.0,,,New role,0,,
EN00060,PT0737,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Kuala Lumpur,Central,35-44,Female,Student,Laptop/Desktop,Medium,Community partner,Job search,0.9,On track,Completed,1,55.9,83.0,27.1,4.0,7.0,No change reported,0,,
EN00061,PT0467,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Kuala Lumpur,South,25-34,Female,Job seeker,Mobile,Medium,Community partner,Digital confidence,0.8,On track,Completed,1,52.3,84.1,31.8,3.0,6.0,New role,0,,
EN00062,PT0067,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Kuala Lumpur,South,35-44,Male,Student,Laptop/Desktop,Medium,Organic,Employer requirement,1.0,On track,Completed,1,84.3,100.0,15.7,5.0,9.0,New role,1,35.7,1.0
EN00063,PT0168,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Kuala Lumpur,South,35-44,Female,Job seeker,Laptop/Desktop,High,Employer,Digital confidence,1.0,On track,Completed,1,61.4,83.7,22.3,4.0,7.0,Interview secured,0,,
EN00064,PT0682,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Sabah,Kota Kinabalu,45+,Male,Job seeker,Mobile,Medium,Organic,Digital confidence,1.0,On track,Completed,1,49.0,67.7,18.7,,,No change reported,1,23.4,1.0
EN00065,PT0766,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Selangor,Klang,18-24,Male,Employed,Laptop/Desktop,High,Organic,Digital confidence,0.8,On track,Completed,1,74.5,91.3,16.8,4.0,7.0,No change reported,0,,
EN00066,PT0448,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Sabah,Kota Kinabalu,18-24,Male,Employed,Mobile,High,Community partner,Job search,0.9,On track,Completed,1,56.1,92.7,36.6,5.0,10.0,New role,1,11.0,1.0
EN00067,PT0424,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Penang,Seberang Perai,18-24,Male,Employed,Mobile,High,Organic,Career growth,0.6,Watch,Completed,1,59.2,79.5,20.3,3.0,6.0,New role,0,,
EN00068,PT0586,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Johor,Johor Bahru,25-34,Female,Employed,Laptop/Desktop,Low,Organic,Digital confidence,0.5,Watch,Dropped,0,64.7,93.5,28.8,4.0,8.0,Not measured,0,,
EN00069,PT0274,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Johor,Muar,35-44,Female,Employed,Mobile,High,Organic,Career growth,0.8,On track,Completed,1,52.5,77.6,25.1,4.0,8.0,No change reported,0,,
EN00070,PT0054,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Selangor,Petaling,35-44,Male,Student,Laptop/Desktop,Medium,Employer,Career growth,0.9,On track,Completed,1,36.2,62.9,26.7,,,No change reported,0,,
EN00071,PT0762,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Penang,Seberang Perai,25-34,Female,Employed,Mobile,Medium,Organic,Digital confidence,0.7,Watch,Dropped,0,50.4,76.7,26.3,,,Not measured,0,,
EN00072,PT0167,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Selangor,Klang,25-34,Male,Student,Laptop/Desktop,High,Referral,Employer requirement,1.0,On track,Completed,1,74.9,100.0,25.1,5.0,10.0,No change reported,0,,
EN00073,PT0622,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Kuala Lumpur,South,25-34,Male,Self-employed,Laptop/Desktop,Medium,Community partner,Career growth,1.0,On track,Completed,1,68.8,94.4,25.6,5.0,10.0,No change reported,0,,
EN00074,PT0741,CH002,PRG02,Business Analytics Essentials,Data & Digital,Career Transition,English,Virtual,TR10,Kuala Lumpur,2025-01-06,2025-03-17,2025-01-01,Johor,Muar,25-34,Male,Employed,Mobile,Medium,Community partner,Employer requirement,0.8,On track,Completed,1,36.3,59.3,23.0,5.0,10.0,No change reported,1,22.2,1.0
EN00075,PT0112,CH003,PRG03,Digital Workplace Skills,Employability,Community Upskilling,Malay,Virtual,TR05,Sabah,2025-01-13,2025-02-24,2025-01-01,Kuala Lumpur,Central,18-24,Female,Employed,Mobile,Medium,Organic,Job search,0.8333,On track,Completed,1,35.7,52.4,16.7,,,Not measured,0,,
EN00076,PT0715,CH003,PRG03,Digital Workplace Skills,Employability,Community Upskilling,Malay,Virtual,TR05,Sabah,2025-01-13,2025-02-24,2025-01-01,Penang,Seberang Perai,25-34,Female,Job seeker,Mobile,High,Community partner,Employer requirement,1.0,On track,Completed,1,62.2,83.3,21.1,4.0,8.0,Not measured,0,,
EN00077,PT0085,CH003,PRG03,Digital Workplace Skills,Employability,Community Upskilling,Malay,Virtual,TR05,Sabah,2025-01-13,2025-02-24,2025-01-01,Selangor,Shah Alam,45+,Male,Job seeker,Shared device,High,Employer,Employer requirement,0.5,Watch,Completed,1,44.4,52.7,8.3,,,Not measured,0,,
EN00078,PT0157,CH003,PRG03,Digital Workplace Skills,Employability,Community Upskilling,Malay,Virtual,TR05,Sabah,2025-01-13,2025-02-24,2025-01-01,Johor,Muar,35-44,Female,Employed,Mobile,Low,Employer,Employer requirement,0.8333,On track,Completed,1,29.0,49.7,20.7,,,Not measured,0,,
EN00079,PT0488,CH003,PRG03,Digital Workplace Skills,Employability,Community Upskilling,Malay,Virtual,TR05,Sabah,2025-01-13,2025-02-24,2025-01-01,Sabah,Sandakan,25-34,Female,Self-employed,Laptop/Desktop,Medium,Organic,Career growth,0.8333,On track,Completed,1,44.2,71.2,27.0,3.0,4.0,Not measured,0,,
EN00080,PT0550,CH003,PRG03,Digital Workplace Skills,Employability,Community Upskilling,Malay,Virtual,TR05,Sabah,2025-01-13,2025-02-24,2025-01-01,Selangor,Petaling,25-34,Female,Job seeker,Mobile,High,Community partner,Job search,1.0,On track,Completed,1,43.5,66.0,22.5,,,Not measured,0,,
EN00081,PT0314,CH003,PRG03,Digital Workplace Skills,Employability,Community Upskilling,Malay,Virtual,TR05,Sabah,2025-01-13,2025-02-24,2025-01-01,Sarawak,Kuching,35-44,Female,Employed,Laptop/Desktop,High,Employer,Job search,0.6667,Watch,Completed,1,58.2,64.2,6.0,,,Not measured,0,,
EN00082,PT0191,CH003,PRG03,Digital Workplace Skills,Employability,Community Upskilling,Malay,Virtual,TR05,Sabah,2025-01-13,2025-02-24,2025-01-01,Sarawak,Kuching,25-34,Male,Employed,Mobile,Low,Referral,Job search,1.0,On track,Completed,1,36.8,72.8,36.0,4.0,5.0,Not measured,2,25.1,0.5
